YEAR,MO,DY,HR,Irradiance,Temperature,Pressure,Relative Humidity,Wind Speed,Column E X 50,SOLAR(KWhr),WIND(KWhr),S+W(KWhr)
2020,1,30,0,0,22.18,100.78,87.38,3.7,0,0,0.74,0.74
2020,1,30,1,0,21.91,100.72,88.81,3.56,0,0,0.712,0.712
2020,1,30,2,0,21.71,100.68,90.19,3.25,0,0,0.65,0.65
2020,1,30,3,0,21.58,100.68,91.12,2.84,0,0,0.568,0.568
2020,1,30,4,0,21.47,100.74,92.12,2.53,0,0,0.506,0.506
2020,1,30,5,0,21.36,100.82,93,2.31,0,0,0.462,0.462
2020,1,30,6,41.39,22.49,100.91,88.56,2.1,2069.5,3.10425,0.42,3.52425
2020,1,30,7,236.43,24.67,101.01,78.19,2.3,11821.5,17.73225,0.46,18.19225
2020,1,30,8,483.3,26.61,101.07,69.62,2.54,24165,36.2475,0.508,36.7555
2020,1,30,9,676.01,27.86,101.04,64.25,2.71,33800.5,50.70075,0.542,51.24275
2020,1,30,10,824.41,28.94,100.94,59.75,2.71,41220.5,61.83075,0.542,62.37275
2020,1,30,11,882.45,29.77,100.81,55.56,2.58,44122.5,66.18375,0.516,66.69975
2020,1,30,12,880.07,30.28,100.68,52.44,2.4,44003.5,66.00525,0.48,66.48525
2020,1,30,13,800.84,30.48,100.56,50.69,2.49,40042,60.063,0.498,60.561
2020,1,30,14,652.31,30.3,100.47,50.62,2.84,32615.5,48.92325,0.568,49.49125
2020,1,30,15,448.61,29.64,100.44,52.81,3.22,22430.5,33.64575,0.644,34.28975
2020,1,30,16,212.79,28.23,100.45,60.44,3.42,10639.5,15.95925,0.684,16.64325
2020,1,30,17,25.86,25.57,100.49,75.44,3.3,1293,1.9395,0.66,2.5995
2020,1,30,18,0,24.58,100.57,80,3.7,0,0,0.74,0.74
